IHO area,spec_s200m,rec_s200m,spec_200-1000m,rec_200-1000m,spec_l1000m,rec_l1000m,
Adriatic Sea,1709,44889,156,1523,19,317,
Aegean Sea,1654,28135,750,2067,58,686,
Alboran Sea,113,367,67,224,61,1035,
Andaman or Burma Sea,1122,2588,142,189,2987,7510,
Arabian Sea,1230,4738,313,3193,627,19316,
Arafura Sea,2620,25359,327,1773,48,82,
Arctic Ocean,516,3800,433,3989,441,12808,
Baffin Bay,80,168,74,708,89,1434,
Balearic (Iberian Sea),1045,23016,204,3870,58,1014,
Bali Sea,176,489,98,180,25,28,
Baltic Sea,677,189063,28,600,,,
Banda Sea,1608,6757,646,2948,261,761,
Barentsz Sea,946,15488,929,17742,,,
Bass Strait,3616,77714,292,526,80,135,
Bay of Bengal,1380,3943,185,469,1262,3260,
Bay of Biscay,1117,111168,302,2225,788,3886,
Bay of Fundy,1399,51440,105,307,,,
Beaufort Sea,519,9325,178,482,20,40,
Bering Sea,772,40329,360,7404,232,1187,
Bismarck Sea,1716,7634,1068,3325,318,770,
Black Sea,1855,29324,85,218,216,745,
Bristol Channel,1280,47243,,,,,
Caribbean Sea,3879,96092,1402,14201,1324,17112,
Celebes Sea,708,2876,163,569,238,772,
Celtic Sea,2338,130424,383,1440,480,1648,
Ceram Sea,265,444,59,117,93,118,
Chukchi Sea,342,3005,,,,,
Coral Sea,11353,274656,4710,36415,2161,10964,
Davis Strait,693,7062,425,5639,156,949,
East Siberian Sea,71,287,,,,,
Eastern China Sea,1546,12899,436,1993,121,2013,
English Channel,2535,408762,,,,,
Flores Sea,386,1158,347,596,19,22,
Great Australian Bight,2813,21908,677,4272,399,1815,
Greenland Sea,499,2957,578,3868,542,10028,
Gulf of Aden,738,1924,101,3098,410,16256,
Gulf of Alaska,717,10956,316,1944,76,274,
Gulf of Aqaba,164,270,9,16,49,109,
Gulf of Boni,42,73,41,91,,,
Gulf of Bothnia,162,42723,24,374,,,
Gulf of California,409,920,168,675,204,1452,
Gulf of Finland,111,27147,,,,,
Gulf of Guinea,390,944,37,44,546,5600,
Gulf of Mexico,8368,359888,3272,18033,1995,16497,
Gulf of Oman,285,793,68,537,137,963,
Gulf of Riga,59,12186,,,,,
Gulf of St. Lawrence,874,174493,329,6924,,,
Gulf of Suez,76,119,,,,,
Gulf of Thailand,277,693,,,,,
Gulf of Tomini,295,1717,55,92,21,29,
Halmahera Sea,202,351,37,53,10,13,
Hudson Bay,411,3806,53,54,,,
Hudson Strait,395,1707,218,1354,,,
Indian Ocean,9971,97172,3651,20900,4004,48097,
Inner Seas off the West Coast of Scotland,1813,165465,209,608,,,
Ionian Sea,743,6509,74,203,242,1939,
Irish Sea and St. George's Channel,1951,218644,,,,,
Japan Sea,668,6159,314,1257,149,2031,
Java Sea,328,855,57,77,14,14,
Kara Sea,325,6337,121,1217,,,
Kattegat,1235,618915,,,,,
Labrador Sea,289,4613,169,9292,267,3555,
Laccadive Sea,1858,8412,541,1951,2226,9097,
Laptev Sea,266,4462,43,145,14,41,
Ligurian Sea,30,46,15,24,21,46,
Makassar Strait,644,1828,104,161,124,223,
Malacca Strait,459,879,7,10,,,
Mediterranean Sea - Eastern Basin,1432,6722,561,4145,1565,14182,
Mediterranean Sea - Western Basin,1937,33674,436,2402,614,3563,
Molukka Sea,403,2100,147,840,132,188,
Mozambique Channel,2537,15603,696,2516,678,1730,
North Atlantic Ocean,9915,873173,6272,76431,8027,201081,
North Pacific Ocean,6868,247927,2847,66770,4991,140955,
North Sea,4259,991541,582,7371,,,
Norwegian Sea,1597,24244,1941,52175,948,12151,
Persian Gulf,714,6436,,,,,
Philippine Sea,3660,37432,2015,10241,1069,17877,
Red Sea,978,2783,358,2073,118,1635,
Rio de La Plata,144,196,,,,,
Savu Sea,285,975,42,82,4,7,
Sea of Azov,42,2558,,,,,
Sea of Marmara,14,32,5,50,4,6,
Sea of Okhotsk,205,997,171,332,122,492,
Seto Naikai or Inland Sea,165,13037,,,,,
Singapore Strait,422,730,,,,,
Skagerrak,1073,100644,420,4919,,,
Solomon Sea,1497,3796,1143,4303,415,2248,
South Atlantic Ocean,6992,117991,3482,23571,3985,75710,
South China Sea,3049,33638,885,3447,623,23307,
South Pacific Ocean,9543,311448,7498,125606,6204,83583,
Southern Ocean,2238,26482,3278,62426,2689,24899,
Strait of Gibraltar,37,50,59,75,,,
Sulu Sea,1153,2996,388,1299,209,637,
Tasman Sea,7773,179847,3209,22673,1909,10953,
The Coastal Waters of Southeast Alaska and British Columbia,1883,38618,314,2491,3,3,
The Northwestern Passages,476,3521,114,751,1,1,
Timor Sea,2100,16880,138,309,63,320,
Tyrrhenian Sea,908,5574,102,436,192,2905,
White Sea,528,13783,103,714,,,
Yellow Sea,896,24750,,,,,
